LoanID,CustomerID,LoanType,Amount,InterestRate,TermMonths,DisbursementDate
LOAN000031,CUST000035,Vehicle,485472.55,22.5,24,25/04/2022
LOAN000032,CUST000572,Home,1327922.48,9.15,240,2024-08-27
LOAN000033,CUST001672,Vehicle,395330.14,20.26,48,06/01/2024
LOAN000034,CUST001750,Vehicle,290878.74,15.83,48,2025-07-11
LOAN000035,CUST002175,Vehicle,546929.82,16.94,120,2022-04-08
LOAN000036,CUST000101,Home,1035151.74,9.03,240,06/11/2025
LOAN000037,CUST000754,Vehicle,169386.73,14.9,24,04/04/2024
LOAN000038,CUST001834,Home,1474920.76,18.7,180,2026-05-02
LOAN000039,CUST001900,Home,852269.9,12.57,120,2025-05-30
LOAN000040,CUST001968,Home,480493.2,15.59,360,29/12/2021
LOAN000041,CUST002249,Home,1721107.97,22.09,120,11/01/2022
LOAN000042,CUST001192,Vehicle,560624.39,9.67,120,09/02/2023
LOAN000043,CUST002387,Personal,134331.54,10.78,60,2026-02-28
LOAN000044,CUST001438,Personal,90583.54,21.44,48,12/05/2022
LOAN000045,CUST000162,Personal,99001.64,8.48,48,11/12/2022
LOAN000046,CUST002884,Personal,5632.61,18.61,60,09/05/2023
LOAN000047,CUST002566,Vehicle,412515.04,11.55,12,2022-01-02
LOAN000048,CUST001393,Personal,90499.34,18.52,24,2022-06-12
LOAN000049,CUST000701,Vehicle,98787.04,17.45,36,2025-05-13
LOAN000050,CUST000664,Home,1321235.46,11.45,180,2022-11-01
LOAN000051,CUST001575,Home,1695427.69,10.43,120,2023-11-23
LOAN000052,CUST001072,Personal,118456.56,21.17,24,29/10/2022
LOAN000053,CUST001849,Vehicle,444909.49,13.82,60,17/11/2025
LOAN000054,CUST002027,Vehicle,442588.82,22.88,36,2024-10-06
LOAN000055,CUST001506,Vehicle,571939.28,23.18,60,04/04/2022
LOAN000056,CUST001483,Home,946730.0,18.74,180,05/03/2022
LOAN000057,CUST002685,Home,861520.81,14.97,360,13/05/2024
LOAN000058,CUST002076,Home,1173992.68,10.95,240,05/10/2021
LOAN000059,CUST002683,Vehicle,568684.92,17.02,36,16/10/2025
LOAN000060,CUST001605,Vehicle,337152.18,21.94,48,16/07/2023
LOAN000061,CUST001495,Personal,27367.33,16.63,48,2025-10-13
LOAN000062,CUST001674,Vehicle,162715.42,20.92,120,2026-01-29
LOAN000063,CUST001764,Vehicle,206804.63,24.84,120,14/03/2022
LOAN000064,CUST001308,Vehicle,456511.06,21.41,36,16/05/2023
LOAN000065,CUST000677,Vehicle,219952.76,20.25,48,2025-09-21
LOAN000066,CUST002472,Personal,71393.42,20.7,240,2026-04-01
LOAN000067,CUST002418,Vehicle,463918.1,12.98,24,28/05/2023
LOAN000068,CUST000260,Vehicle,205678.34,14.84,12,02/12/2024
LOAN000069,CUST002823,Vehicle,99994.81,19.63,24,2024-01-21
LOAN000070,CUST001277,Home,339371.38,11.15,120,2022-11-10
LOAN000071,CUST002813,Personal,25194.03,19.2,120,2025-11-15
LOAN000072,CUST000771,Personal,113836.53,8.87,36,2024-12-03
LOAN000073,CUST000684,Personal,25624.25,14.48,36,2024-08-14
LOAN000074,CUST000751,Home,553278.13,21.53,360,25/09/2024
LOAN000075,CUST000789,Personal,105325.6,17.14,60,18/03/2025
LOAN000076,CUST000168,Home,1922751.88,21.39,360,2022-10-08
LOAN000077,CUST001410,Vehicle,327850.96,21.92,36,09/08/2025
LOAN000078,CUST001712,Vehicle,96250.33,9.86,240,2021-08-09
LOAN000079,CUST001025,Vehicle,183894.1,14.2,48,2025-10-05
LOAN000080,CUST002946,Personal,101831.11,20.06,48,2022-12-30
LOAN000081,CUST002105,Home,472556.19,11.98,120,2022-05-06
LOAN000082,CUST002414,Vehicle,283972.59,18.31,12,2023-07-13
LOAN000083,CUST000083,Home,442521.66,21.25,180,2021-12-04
LOAN000084,CUST000243,Vehicle,306629.83,12.91,48,2023-06-23
LOAN000085,CUST000513,Vehicle,386889.96,23.41,24,03/11/2023
LOAN000086,CUST001149,Home,1666509.33,21.1,180,2022-01-10
LOAN000087,CUST002664,Home,1745355.42,10.15,240,2023-11-10
LOAN000088,CUST002784,Home,711895.7,10.02,120,2024-09-22
LOAN000089,CUST001520,Vehicle,148907.6,15.18,36,29/12/2025
LOAN000090,CUST002419,Personal,92924.89,7.92,36,08/11/2023
LOAN000091,CUST000832,Vehicle,351095.39,18.76,120,2021-12-27
LOAN000092,CUST000157,Home,933270.67,19.43,120,2025-03-02
LOAN000093,CUST000440,Vehicle,141725.21,13.08,120,29/01/2026
LOAN000094,CUST002478,Personal,104081.39,9.7,48,07/02/2026
LOAN000095,CUST001751,Personal,136906.79,9.96,12,2025-05-06
LOAN000096,CUST000638,Vehicle,198865.77,10.23,60,2022-07-19
LOAN000097,CUST002783,Home,428377.22,15.51,180,08/03/2023
LOAN000098,CUST001849,Personal,117067.03,15.98,120,16/02/2023
LOAN000099,CUST002986,Vehicle,465052.25,8.91,240,2026-06-20
LOAN000100,CUST000025,Personal,41872.85,9.78,24,16/12/2023
LOAN000101,CUST000141,Vehicle,337070.97,22.93,60,08/01/2025
LOAN000102,CUST001638,Vehicle,389111.57,15.38,60,28/11/2023
LOAN000103,CUST002945,Personal,39472.26,21.22,60,08/12/2022
LOAN000104,CUST002198,Home,1080704.99,19.87,120,2021-10-02
LOAN000105,CUST000998,Personal,119377.11,21.94,12,2022-05-01
LOAN000106,CUST000999,Home,382395.92,11.76,120,17/11/2023
LOAN000107,CUST000963,Personal,19579.76,16.82,12,2024-09-18
LOAN000108,CUST002807,Home,595481.45,20.22,180,21/02/2023
LOAN000109,CUST000038,Vehicle,293758.81,11.63,48,2021-09-20
LOAN000110,CUST002459,Vehicle,207677.17,7.72,48,10/07/2024
LOAN000111,CUST001449,Vehicle,104009.95,9.75,12,09/06/2023
LOAN000112,CUST001871,Vehicle,582592.27,9.49,12,2026-03-04
LOAN000113,CUST000427,Home,1781314.59,10.64,240,06/05/2023
LOAN000114,CUST002393,Personal,81717.52,20.61,240,06/09/2023
LOAN000115,CUST001936,Vehicle,268951.69,9.97,60,23/11/2023
LOAN000116,CUST001753,Home,1698594.4,16.17,360,2021-10-31
LOAN000117,CUST000580,Home,1463404.06,22.23,360,2025-11-01
LOAN000118,CUST001564,Vehicle,465936.32,23.57,240,02/04/2026
LOAN000119,CUST001880,Vehicle,268997.34,9.21,24,05/12/2024
LOAN000120,CUST000891,Vehicle,166254.1,19.46,24,22/11/2022
LOAN000121,CUST001562,Vehicle,234502.07,10.56,48,10/09/2024
LOAN000122,CUST000294,Personal,110490.58,21.52,12,23/12/2021
LOAN000123,CUST000761,Personal,104208.68,12.64,36,2021-11-27
LOAN000124,CUST001703,Personal,92140.0,12.06,24,2023-07-23
LOAN000125,CUST002430,Home,941083.05,16.38,360,13/01/2023
LOAN000126,CUST000013,Personal,36385.34,7.99,24,2025-01-25
LOAN000127,CUST002827,Home,1864908.0,22.17,180,07/11/2025
LOAN000128,CUST002433,Vehicle,155382.76,9.48,120,2024-02-24
LOAN000129,CUST000264,Home,951613.02,8.26,240,10/11/2024
LOAN000130,CUST000336,Personal,59682.45,16.95,12,2022-11-04
LOAN000131,CUST000084,Personal,79466.63,9.02,24,2025-08-26
LOAN000132,CUST001968,Home,1613550.44,13.32,120,08/01/2022
LOAN000133,CUST001033,Vehicle,458133.03,21.99,120,01/01/2026
LOAN000134,CUST000661,Home,1062952.68,23.68,240,2023-04-01
LOAN000135,CUST001376,Personal,76098.22,24.69,48,09/04/2025
LOAN000136,CUST000039,Vehicle,357959.32,15.03,12,17/05/2022
LOAN000137,CUST001284,Personal,96617.17,14.57,120,2023-04-14
LOAN000138,CUST001889,Personal,149007.25,24.57,60,18/08/2023
LOAN000139,CUST000424,Home,602614.4,14.78,360,27/11/2023
LOAN000140,CUST000364,Vehicle,371487.93,17.49,12,2024-12-14
LOAN000141,CUST000220,Vehicle,417100.53,14.32,60,2022-05-10
LOAN000142,CUST002047,Vehicle,414361.01,8.84,12,28/12/2024
LOAN000143,CUST000909,Home,1461555.25,21.46,360,2023-04-24
LOAN000144,CUST002515,Home,1663961.74,22.48,360,22/12/2024
LOAN000145,CUST000994,Home,1582332.06,15.79,120,2023-06-25
LOAN000146,CUST002063,Vehicle,348262.03,11.41,36,12/08/2021
LOAN000147,CUST000507,Personal,103611.96,10.16,240,02/06/2025
LOAN000148,CUST001401,Vehicle,155659.96,9.34,36,03/07/2024
LOAN000149,CUST000274,Personal,125875.89,18.45,60,12/12/2021
LOAN000150,CUST002881,Home,1826651.51,24.75,120,2024-11-07
LOAN000151,CUST002341,Home,506574.29,17.91,180,06/08/2024
LOAN000152,CUST001304,Home,653445.63,11.57,240,27/02/2023
LOAN000153,CUST002449,Home,389626.15,14.46,360,02/06/2026
LOAN000154,CUST001485,Vehicle,441797.03,22.85,36,09/03/2026
LOAN000155,CUST002504,Personal,96297.47,18.03,120,2025-03-21
LOAN000156,CUST001347,Vehicle,483727.91,18.82,24,2025-03-10
LOAN000157,CUST002547,Home,409432.25,15.69,180,14/02/2023
LOAN000158,CUST002895,Home,1477097.99,12.61,180,2022-04-22
LOAN000159,CUST000700,Vehicle,418237.25,20.29,120,28/10/2023
LOAN000160,CUST000941,Personal,104810.09,21.61,120,2022-04-17
LOAN000161,CUST001281,Home,717577.04,12.87,360,2025-10-26
LOAN000162,CUST001100,Personal,134276.21,10.43,36,15/02/2022
LOAN000163,CUST001003,Personal,102063.3,21.57,36,04/05/2026
LOAN000164,CUST000373,Personal,106167.47,9.55,120,26/07/2023
LOAN000165,CUST002510,Vehicle,594640.56,21.47,12,16/02/2024
LOAN000166,CUST002895,Personal,49794.75,8.63,60,2021-08-01
LOAN000167,CUST001331,Home,828778.32,24.73,240,2023-10-13
LOAN000168,CUST000290,Vehicle,527240.51,7.97,120,2025-08-30
LOAN000169,CUST000145,Home,1348054.93,18.53,180,2022-03-08
LOAN000170,CUST001735,Personal,74641.31,17.94,120,2023-10-11
LOAN000171,CUST001025,Vehicle,279536.15,9.12,60,2026-05-03
LOAN000172,CUST000067,Vehicle,179774.78,22.04,120,2022-01-17
LOAN000173,CUST000010,Home,1411298.51,14.09,240,2022-08-22
LOAN000174,CUST001229,Vehicle,179484.03,19.24,240,2026-05-20
LOAN000175,CUST002158,Personal,42316.37,14.13,120,20/08/2023
LOAN000176,CUST001180,Vehicle,500353.93,10.56,240,2024-04-02
LOAN000177,CUST002272,Vehicle,402515.53,13.24,24,2022-05-20
LOAN000178,CUST000669,Home,878043.89,24.45,240,04/06/2023
LOAN000179,CUST000034,Vehicle,329394.19,11.83,120,12/04/2023
LOAN000180,CUST002462,Vehicle,249914.76,9.17,36,02/04/2026
LOAN000181,CUST000019,Home,739644.26,8.15,180,07/05/2026
LOAN000182,CUST001167,Home,1164719.86,20.37,240,27/05/2024
LOAN000183,CUST002208,Vehicle,303443.73,18.14,60,20/08/2021
LOAN000184,CUST001775,Home,1491353.57,17.67,120,2025-07-27
LOAN000185,CUST002145,Home,1843914.51,12.04,180,24/08/2021
LOAN000186,CUST002982,Personal,53824.74,13.17,48,23/12/2025
LOAN000187,CUST000393,Personal,83708.83,14.19,120,14/01/2024
LOAN000188,CUST002844,Home,1529447.66,11.11,240,01/11/2025
LOAN000189,CUST000077,Vehicle,379251.51,22.86,36,02/01/2025
LOAN000190,CUST001674,Home,328286.03,22.41,360,2024-10-04
LOAN000191,CUST000729,Home,377453.94,21.34,240,23/10/2023
LOAN000192,CUST001826,Personal,73386.19,9.66,36,2023-08-02
LOAN000193,CUST002208,Personal,52913.57,13.13,24,19/04/2023
LOAN000194,CUST002107,Home,1584468.82,24.77,240,2024-03-26
LOAN000195,CUST002347,Vehicle,348996.94,11.75,36,21/02/2024
LOAN000196,CUST001437,Vehicle,181848.42,11.34,60,2025-04-30
LOAN000197,CUST002368,Personal,116618.17,14.07,60,14/02/2022
LOAN000198,CUST001205,Personal,145191.51,18.68,240,06/06/2022
LOAN000199,CUST002148,Personal,136449.93,14.04,36,03/09/2023
LOAN000200,CUST000796,Personal,134272.37,20.5,12,2022-06-08
LOAN000201,CUST001651,Home,778140.15,16.35,240,29/06/2024
LOAN000202,CUST002762,Vehicle,134574.83,24.26,12,2024-03-27
LOAN000203,CUST000196,Personal,58763.65,15.3,120,2023-06-11
LOAN000204,CUST001891,Personal,133456.78,22.92,48,2025-09-21
LOAN000205,CUST001821,Vehicle,207401.56,16.86,48,2024-12-14
LOAN000206,CUST002001,Vehicle,555711.66,21.66,60,20/09/2023
LOAN000207,CUST002663,Home,1759773.29,11.67,240,16/12/2022
LOAN000208,CUST001828,Vehicle,264153.63,20.55,24,13/08/2024
LOAN000209,CUST001720,Personal,144533.95,17.2,48,12/02/2026
LOAN000210,CUST001726,Personal,43445.07,15.63,48,2025-10-13
LOAN000211,CUST001299,Home,896244.86,20.63,120,2026-06-18
LOAN000212,CUST000133,Vehicle,385947.49,18.69,240,2025-07-13
LOAN000213,CUST001632,Vehicle,494080.55,13.71,36,2022-01-28
LOAN000214,CUST001367,Personal,113005.45,18.89,60,05/10/2024
LOAN000215,CUST001686,Home,1921512.87,14.98,180,2024-08-06
LOAN000216,CUST000151,Vehicle,476599.66,12.03,240,2023-08-04
LOAN000217,CUST001261,Vehicle,462518.39,17.68,240,04/01/2024
LOAN000218,CUST001288,Home,1320011.97,24.79,360,2025-04-06
LOAN000219,CUST001835,Vehicle,341238.86,21.2,120,16/02/2026
LOAN000220,CUST001742,Home,830330.23,23.57,360,21/01/2022
LOAN000221,CUST002391,Vehicle,454684.55,14.66,120,02/10/2023
LOAN000222,CUST002917,Vehicle,88227.81,9.82,36,04/06/2024
LOAN000223,CUST001132,Home,1296483.73,20.0,120,2021-09-22
LOAN000224,CUST002034,Vehicle,378610.8,14.86,24,28/12/2022
LOAN000225,CUST002192,Personal,50754.13,14.85,60,2023-08-20
LOAN000226,CUST002179,Personal,41739.64,14.26,12,2022-08-30
LOAN000227,CUST001038,Home,1066814.29,15.4,120,20/10/2023
LOAN000228,CUST000011,Personal,42866.77,10.77,24,10/06/2023
LOAN000229,CUST002958,Home,1881039.16,11.43,180,12/07/2022
LOAN000230,CUST002794,Vehicle,122685.1,19.67,120,16/11/2023
LOAN000231,CUST000392,Home,1774008.94,11.05,240,2022-03-06
LOAN000232,CUST002106,Home,1446337.21,14.01,240,29/04/2026
LOAN000233,CUST002548,Home,1208669.94,23.78,180,23/01/2026
LOAN000234,CUST001408,Vehicle,366196.22,22.76,36,2023-08-07
LOAN000235,CUST000700,Vehicle,432256.65,24.4,12,08/08/2025
LOAN000236,CUST001544,Home,1182009.71,15.52,120,2025-01-10
LOAN000237,CUST001275,Personal,83015.36,16.77,24,2025-03-18
LOAN000238,CUST002183,Vehicle,460816.59,8.63,24,08/08/2021
LOAN000239,CUST001277,Home,516129.97,23.42,180,2023-05-30
LOAN000240,CUST000992,Vehicle,320921.35,24.52,240,2022-09-01
LOAN000241,CUST000634,Vehicle,112923.39,15.72,36,2022-12-17
LOAN000242,CUST000806,Home,448165.25,11.84,120,22/11/2025
LOAN000243,CUST001314,Vehicle,108066.4,11.39,12,2022-11-13
LOAN000244,CUST000361,Personal,122227.77,19.19,60,2025-09-09
LOAN000245,CUST002249,Personal,94412.64,12.77,60,23/06/2025
LOAN000246,CUST001252,Home,1560417.98,13.16,180,10/08/2023
LOAN000247,CUST000403,Personal,118547.39,9.96,60,03/10/2022
LOAN000248,CUST000094,Home,1008859.28,14.8,120,2025-12-29
LOAN000249,CUST000383,Vehicle,277878.4,7.8,60,2023-08-09
LOAN000250,CUST002194,Personal,101302.3,9.96,48,2021-08-22
LOAN000251,CUST001648,Personal,104617.04,10.47,120,27/04/2022
LOAN000252,CUST000793,Vehicle,155925.51,18.49,60,29/05/2023
LOAN000253,CUST001415,Vehicle,467792.76,17.4,12,2025-08-01
LOAN000254,CUST001441,Vehicle,567230.93,16.07,120,2025-08-07
LOAN000255,CUST000125,Vehicle,184643.11,8.31,24,08/07/2024
LOAN000256,CUST000784,Home,1346663.81,17.18,240,2023-03-20
LOAN000257,CUST000184,Personal,93458.73,13.26,120,2026-04-14
LOAN000258,CUST000066,Vehicle,572817.08,21.52,48,2026-06-14
LOAN000259,CUST001074,Home,594954.27,7.72,180,03/10/2022
LOAN000260,CUST002837,Home,747933.02,24.55,360,10/05/2026
LOAN000261,CUST002059,Personal,109112.48,24.41,120,07/07/2022
LOAN000262,CUST001594,Home,1469278.19,13.23,120,26/09/2024
LOAN000263,CUST002982,Home,674947.89,22.81,360,22/08/2025
LOAN000264,CUST000304,Home,1849248.42,11.08,180,2025-07-04
LOAN000265,CUST000362,Home,1804583.44,24.77,120,2024-05-29
LOAN000266,CUST001135,Vehicle,330637.09,19.08,60,14/03/2022
LOAN000267,CUST000850,Personal,114281.47,13.23,12,11/09/2024
LOAN000268,CUST002295,Vehicle,247779.11,10.43,24,17/05/2026
LOAN000269,CUST002308,Home,1509206.45,20.22,360,03/06/2022
LOAN000270,CUST000381,Personal,49605.7,24.16,36,05/01/2026
LOAN000271,CUST000517,Home,395702.27,18.94,180,10/02/2024
LOAN000272,CUST002568,Home,1246208.42,16.7,360,20/09/2023
LOAN000273,CUST001506,Home,1423410.2,20.97,180,2022-01-20
LOAN000274,CUST000454,Personal,81202.89,16.67,12,2025-07-04
LOAN000275,CUST001405,Personal,59159.91,14.93,60,18/01/2024
LOAN000276,CUST002029,Vehicle,551456.92,16.24,120,02/09/2024
LOAN000277,CUST001150,Home,1237828.91,17.5,240,04/06/2025
LOAN000278,CUST001957,Home,692786.71,13.11,120,17/09/2025
LOAN000279,CUST002868,Vehicle,406824.28,18.33,60,26/08/2024
LOAN000280,CUST000264,Vehicle,125232.51,19.78,120,05/11/2022
LOAN000281,CUST001818,Vehicle,562843.22,13.12,48,2024-04-14
LOAN000282,CUST001054,Vehicle,401785.69,13.32,48,26/03/2026
LOAN000283,CUST002627,Vehicle,117409.57,15.08,36,2022-07-27
LOAN000284,CUST000033,Vehicle,301919.32,23.4,120,2022-01-09
LOAN000285,CUST000250,Vehicle,342244.74,22.03,24,20/09/2023
LOAN000286,CUST001948,Personal,126382.92,18.85,60,2024-08-29
LOAN000287,CUST002218,Personal,138684.89,21.28,240,2024-06-26
LOAN000288,CUST002267,Home,1320344.06,8.35,360,13/09/2021
LOAN000289,CUST001125,Home,383835.0,7.64,120,2025-01-17
LOAN000290,CUST001367,Personal,136948.45,22.65,240,04/02/2026
LOAN000291,CUST001991,Vehicle,354031.45,9.32,48,14/12/2021
LOAN000292,CUST002400,Home,1008609.08,10.18,180,13/06/2023
LOAN000293,CUST001651,Personal,94182.87,18.51,120,2025-03-20
LOAN000294,CUST002854,Home,1369514.88,22.33,360,17/03/2022
LOAN000295,CUST002174,Vehicle,439254.45,21.79,120,19/10/2023
LOAN000296,CUST000175,Home,1365113.54,10.47,240,2024-09-02
LOAN000297,CUST002282,Home,1528513.27,11.78,180,2023-04-30
LOAN000298,CUST000366,Vehicle,246413.31,23.41,24,29/09/2022
LOAN000299,CUST001957,Personal,65433.82,18.66,48,25/12/2025
LOAN000300,CUST001969,Home,304297.07,21.94,120,2023-01-10
LOAN000301,CUST002487,Vehicle,376149.36,16.28,12,14/03/2024
LOAN000302,CUST001225,Home,416486.86,9.17,240,09/10/2022
LOAN000303,CUST001129,Vehicle,429535.85,18.29,48,2025-05-27
LOAN000304,CUST001378,Vehicle,349021.61,19.04,120,07/06/2025
LOAN000305,CUST002386,Home,1038434.22,23.12,240,10/05/2025
LOAN000306,CUST002902,Personal,57438.49,11.16,120,22/10/2024
LOAN000307,CUST000418,Personal,147678.62,13.35,48,02/12/2022
LOAN000308,CUST001089,Vehicle,81389.91,20.86,60,2026-03-02
LOAN000309,CUST001417,Home,1914084.67,11.16,120,26/08/2024
LOAN000310,CUST001365,Home,386620.45,18.7,120,15/09/2024
LOAN000311,CUST000985,Home,1603049.58,19.04,240,01/06/2024
LOAN000312,CUST001919,Vehicle,263246.76,24.24,36,27/01/2022
LOAN000313,CUST001266,Home,679526.32,9.16,360,29/10/2023
LOAN000314,CUST000974,Vehicle,425899.49,22.48,24,30/06/2024
LOAN000315,CUST001991,Home,330010.01,20.49,240,03/02/2022
LOAN000316,CUST000182,Home,1152694.69,10.2,360,15/12/2022
LOAN000317,CUST000875,Vehicle,293483.2,20.4,24,19/12/2025
LOAN000318,CUST002429,Home,331012.92,24.85,360,08/01/2022
LOAN000319,CUST002417,Vehicle,589117.72,16.01,120,2023-12-31
LOAN000320,CUST000171,Home,893809.1,16.52,240,2023-05-06
LOAN000321,CUST000503,Home,933867.62,15.53,120,2025-09-09
LOAN000322,CUST002523,Vehicle,120473.2,19.29,36,2023-06-28
LOAN000323,CUST002647,Personal,68557.77,12.19,60,2023-12-25
LOAN000324,CUST001286,Home,1491239.48,19.33,240,03/09/2021
LOAN000325,CUST000969,Vehicle,269885.93,19.06,240,05/12/2021
LOAN000326,CUST001994,Home,724977.35,24.9,360,14/04/2026
LOAN000327,CUST002004,Vehicle,389060.1,8.51,12,2021-12-10
LOAN000328,CUST000945,Personal,82426.88,21.43,24,2024-12-12
LOAN000329,CUST001918,Personal,93753.3,23.35,60,31/05/2023
LOAN000330,CUST001660,Personal,76412.34,22.31,48,2023-02-09
LOAN000331,CUST000257,Home,1612214.55,24.04,360,13/01/2026
LOAN000332,CUST000046,Vehicle,479174.84,19.06,120,17/07/2025
LOAN000333,CUST001495,Vehicle,482573.29,17.26,48,2022-06-14
LOAN000334,CUST000744,Home,1173232.47,24.01,240,13/08/2021
LOAN000335,CUST002899,Personal,135054.38,21.04,36,2022-06-12
LOAN000336,CUST002390,Personal,133521.61,9.3,48,2024-05-10
LOAN000337,CUST001081,Vehicle,497179.02,18.4,12,2024-07-20
LOAN000338,CUST002399,Home,1668676.82,16.01,120,2021-09-20
LOAN000339,CUST001850,Home,1770749.64,24.27,240,14/05/2026
LOAN000340,CUST001148,Home,1490113.0,12.48,240,2026-06-15
LOAN000341,CUST002852,Personal,80511.93,13.46,120,2023-12-12
LOAN000342,CUST000592,Home,618886.41,8.51,240,2024-08-02
LOAN000343,CUST002102,Vehicle,574634.23,12.74,48,2024-04-03
LOAN000344,CUST001066,Vehicle,338260.64,14.15,12,2022-05-06
LOAN000345,CUST000813,Personal,9045.69,11.73,24,19/03/2025
LOAN000346,CUST000849,Personal,135413.03,23.36,60,2026-02-15
LOAN000347,CUST001920,Personal,5234.82,23.3,36,2022-07-07
LOAN000348,CUST001784,Vehicle,423928.13,9.39,48,2021-09-17
LOAN000349,CUST001725,Home,1558786.43,18.88,360,2021-09-05
LOAN000350,CUST001155,Vehicle,339473.58,16.99,12,31/01/2024
LOAN000351,CUST002353,Vehicle,340522.01,11.37,240,2022-04-25
LOAN000352,CUST001641,Vehicle,420257.49,11.97,240,30/10/2025
LOAN000353,CUST001323,Home,1300997.96,19.99,120,2022-02-17
LOAN000354,CUST002332,Vehicle,554095.82,8.08,240,19/08/2022
LOAN000355,CUST000469,Vehicle,254872.4,19.77,120,06/03/2023
LOAN000356,CUST002289,Vehicle,463444.33,17.49,36,2022-08-24
LOAN000357,CUST001894,Home,541742.57,12.32,120,2025-02-22
LOAN000358,CUST002985,Home,413873.99,9.91,360,10/03/2026
LOAN000359,CUST002341,Personal,63221.72,20.29,48,2022-11-18
LOAN000360,CUST000043,Vehicle,492186.99,9.96,60,2023-12-08
LOAN000361,CUST001221,Personal,117041.88,10.84,60,2026-04-03
LOAN000362,CUST000346,Personal,64196.78,15.85,36,13/04/2023
LOAN000363,CUST000501,Home,670042.67,7.95,240,2024-04-12
LOAN000364,CUST000617,Vehicle,500059.73,23.35,12,2023-01-05
LOAN000365,CUST002388,Personal,17583.18,19.79,120,2025-03-26
LOAN000366,CUST002019,Personal,54136.84,23.66,12,2024-01-02
LOAN000367,CUST000234,Home,626817.49,23.04,360,02/02/2024
LOAN000368,CUST001352,Personal,23787.57,9.12,12,14/07/2023
LOAN000369,CUST000856,Home,694160.38,11.66,240,07/07/2022
LOAN000370,CUST001654,Vehicle,315843.67,15.46,240,01/06/2022
LOAN000371,CUST002927,Personal,6361.54,23.7,120,11/12/2024
LOAN000372,CUST001936,Vehicle,518234.44,20.73,120,2025-12-06
LOAN000373,CUST002960,Personal,37740.75,20.12,120,13/12/2022
LOAN000374,CUST000002,Home,748846.27,12.76,120,01/07/2023
LOAN000375,CUST002972,Vehicle,444472.95,21.45,48,2024-06-08
LOAN000376,CUST001186,Vehicle,90157.54,10.32,36,2025-05-03
LOAN000377,CUST002375,Home,1742807.03,20.0,240,05/02/2023
LOAN000378,CUST002360,Home,499523.91,15.72,360,21/06/2025
LOAN000379,CUST001890,Home,1445138.56,10.11,240,04/04/2026
LOAN000380,CUST001384,Personal,29130.81,12.17,60,2023-12-19
LOAN000381,CUST001558,Personal,89095.65,16.69,120,28/11/2025
LOAN000382,CUST002986,Vehicle,277057.17,17.9,60,26/08/2023
LOAN000383,CUST001952,Personal,36680.16,8.09,60,29/03/2025
LOAN000384,CUST002680,Home,1046355.88,11.07,120,31/07/2025
LOAN000385,CUST001819,Personal,59556.04,8.71,120,2024-08-18
LOAN000386,CUST000533,Personal,142221.11,17.14,12,21/07/2024
LOAN000387,CUST000688,Personal,32177.55,12.5,120,2023-09-05
LOAN000388,CUST000587,Personal,32925.89,11.25,240,2024-05-10
LOAN000389,CUST001548,Home,338348.03,17.35,120,29/05/2023
LOAN000390,CUST002681,Vehicle,287389.86,9.77,36,04/09/2024
LOAN000391,CUST000371,Home,966039.25,9.88,240,18/11/2021
