LoanID,DefaultFlag,DefaultDate
LOAN000285,No,
LOAN000286,No,
LOAN000287,No,
LOAN000288,No,
LOAN000289,No,
LOAN000290,No,
LOAN000291,No,
LOAN000292,No,
LOAN000293,No,
LOAN000294,No,
LOAN000295,No,
LOAN000296,Yes,2026-02-24
LOAN000297,No,
LOAN000298,No,
LOAN000299,No,
LOAN000300,No,
LOAN000301,No,
LOAN000302,No,
LOAN000303,No,
LOAN000304,No,
LOAN000305,No,
LOAN000306,No,
LOAN000307,No,
LOAN000308,No,
LOAN000309,No,
LOAN000310,No,
LOAN000311,No,
LOAN000312,No,
LOAN000313,No,
LOAN000314,No,
LOAN000315,No,
LOAN000316,No,
LOAN000317,No,
LOAN000318,No,
LOAN000319,No,
LOAN000320,No,
LOAN000321,No,
LOAN000322,No,
LOAN000323,No,
LOAN000324,No,
LOAN000325,Yes,2022-05-04
LOAN000326,No,
LOAN000327,No,
LOAN000328,No,
LOAN000329,No,
LOAN000330,No,
LOAN000331,No,
LOAN000332,No,
LOAN000333,No,
LOAN000334,No,
LOAN000335,No,
LOAN000336,No,
LOAN000337,No,
LOAN000338,No,
LOAN000339,No,
LOAN000340,No,
LOAN000341,No,
LOAN000342,No,
LOAN000343,No,
LOAN000344,No,
LOAN000345,No,
LOAN000346,No,
LOAN000347,No,
LOAN000348,No,
LOAN000349,No,
LOAN000350,No,
LOAN000351,No,
LOAN000352,No,
LOAN000353,No,
LOAN000354,No,
LOAN000355,No,
LOAN000356,Yes,10/05/2025
LOAN000357,No,
LOAN000358,No,
LOAN000359,No,
LOAN000360,No,
LOAN000361,No,
LOAN000362,No,
LOAN000363,No,
LOAN000364,No,
LOAN000365,No,
LOAN000366,No,
LOAN000367,No,
LOAN000368,No,
LOAN000369,No,
LOAN000370,No,
LOAN000371,No,
LOAN000372,No,
LOAN000373,No,
LOAN000374,No,
LOAN000375,No,
LOAN000376,Yes,2026-05-28
LOAN000377,No,
LOAN000378,No,
LOAN000379,No,
LOAN000380,Yes,13/11/2024
LOAN000381,No,
LOAN000382,No,
LOAN000383,No,
LOAN000384,No,
LOAN000385,No,
LOAN000386,No,
LOAN000387,No,
LOAN000388,No,
LOAN000389,No,
LOAN000390,No,
LOAN000391,No,
LOAN000392,No,
LOAN000393,No,
LOAN000394,Yes,2024-10-26
LOAN000395,No,
LOAN000396,No,
LOAN000397,No,
LOAN000398,No,
LOAN000399,No,
LOAN000400,No,
LOAN000401,No,
LOAN000402,No,
LOAN000403,No,
LOAN000404,No,
LOAN000405,No,
LOAN000406,No,
LOAN000407,No,
LOAN000408,No,
LOAN000409,Yes,21/05/2026
LOAN000410,No,
LOAN000411,No,
LOAN000412,No,
LOAN000413,Yes,2024-01-02
LOAN000414,No,
LOAN000415,No,
LOAN000416,No,
LOAN000417,No,
LOAN000418,No,
LOAN000419,No,
LOAN000420,No,
LOAN000421,No,
LOAN000422,No,
LOAN000423,No,
LOAN000424,No,
LOAN000425,No,
LOAN000426,No,
LOAN000427,No,
LOAN000428,No,
LOAN000429,No,
LOAN000430,No,
LOAN000431,No,
LOAN000432,No,
LOAN000433,No,
LOAN000434,No,
LOAN000435,No,
LOAN000436,No,
LOAN000437,No,
LOAN000438,No,
LOAN000439,No,
LOAN000440,No,
LOAN000441,No,
LOAN000442,No,
LOAN000443,No,
LOAN000444,No,
LOAN000445,No,
LOAN000446,No,
LOAN000447,No,
LOAN000448,No,
LOAN000449,No,
LOAN000450,No,
LOAN000451,No,
LOAN000452,Yes,2023-04-27
LOAN000453,No,
LOAN000454,No,
LOAN000455,No,
LOAN000456,No,
LOAN000457,No,
LOAN000458,No,
LOAN000459,No,
LOAN000460,Yes,07/10/2024
LOAN000461,No,
LOAN000462,Yes,2023-07-08
LOAN000463,No,
LOAN000464,No,
LOAN000465,No,
LOAN000466,No,
LOAN000467,No,
LOAN000468,Yes,20/09/2027
LOAN000469,No,
LOAN000470,No,
LOAN000471,No,
LOAN000472,No,
LOAN000473,No,
LOAN000474,No,
LOAN000475,Yes,24/02/2023
LOAN000476,Yes,2023-04-27
LOAN000477,No,
LOAN000478,No,
LOAN000479,No,
LOAN000480,No,
LOAN000481,No,
LOAN000482,No,
LOAN000483,No,
LOAN000484,No,
LOAN000485,No,
LOAN000486,No,
LOAN000487,No,
LOAN000488,Yes,2025-07-05
LOAN000489,No,
LOAN000490,No,
LOAN000491,No,
LOAN000492,No,
LOAN000493,No,
LOAN000494,No,
LOAN000495,No,
LOAN000496,No,
LOAN000497,No,
LOAN000498,No,
LOAN000499,No,
LOAN000500,No,
LOAN000501,No,
LOAN000502,No,
LOAN000503,Yes,17/12/2027
LOAN000504,No,
LOAN000505,No,
LOAN000506,No,
LOAN000507,Yes,2024-03-30
LOAN000508,No,
LOAN000509,No,
LOAN000510,No,
LOAN000511,No,
LOAN000512,No,
LOAN000513,No,
LOAN000514,No,
LOAN000515,No,
LOAN000516,No,
LOAN000517,No,
LOAN000518,Yes,05/11/2026
LOAN000519,No,
LOAN000520,No,
LOAN000521,No,
LOAN000522,No,
LOAN000523,No,
LOAN000524,No,
LOAN000525,Yes,2022-07-14
LOAN000526,No,
LOAN000527,No,
LOAN000528,No,
LOAN000529,No,
LOAN000530,No,
LOAN000531,No,
LOAN000532,No,
LOAN000533,Yes,13/05/2026
LOAN000534,No,
LOAN000535,No,
LOAN000536,No,
LOAN000537,No,
LOAN000538,No,
LOAN000539,No,
LOAN000540,Yes,17/09/2023
LOAN000541,No,
LOAN000542,No,
LOAN000543,No,
LOAN000544,No,
LOAN000545,No,
LOAN000546,No,
LOAN000547,No,
LOAN000548,Yes,2023-08-10
LOAN000549,No,
LOAN000550,No,
LOAN000551,No,
LOAN000552,No,
LOAN000553,No,
LOAN000554,Yes,2026-12-15
LOAN000555,No,
LOAN000556,No,
LOAN000557,No,
LOAN000558,Yes,13/05/2022
LOAN000559,Yes,17/09/2026
LOAN000560,No,
LOAN000561,Yes,15/03/2023
LOAN000562,No,
LOAN000563,No,
LOAN000564,Yes,07/03/2024
LOAN000565,No,
LOAN000566,No,
LOAN000567,No,
LOAN000568,No,
LOAN000569,No,
LOAN000570,No,
LOAN000571,Yes,2026-03-27
LOAN000572,No,
LOAN000573,No,
LOAN000574,No,
LOAN000575,No,
LOAN000576,No,
LOAN000577,No,
LOAN000578,No,
LOAN000579,No,
LOAN000580,No,
LOAN000581,No,
LOAN000582,No,
LOAN000583,No,
LOAN000584,No,
LOAN000585,No,
LOAN000586,No,
LOAN000587,Yes,2022-08-18
LOAN000588,No,
LOAN000589,No,
LOAN000590,Yes,10/04/2025
LOAN000591,No,
LOAN000592,No,
LOAN000593,No,
LOAN000594,No,
LOAN000595,No,
LOAN000596,No,
LOAN000597,No,
LOAN000598,Yes,2025-08-05
LOAN000599,No,
LOAN000600,Yes,18/05/2024
LOAN000601,No,
LOAN000602,No,
LOAN000603,No,
LOAN000604,Yes,14/06/2024
LOAN000605,No,
LOAN000606,No,
LOAN000607,No,
LOAN000608,No,
LOAN000609,No,
LOAN000610,No,
LOAN000611,No,
LOAN000612,No,
LOAN000613,No,
LOAN000614,No,
LOAN000615,No,
LOAN000616,No,
LOAN000617,No,
LOAN000618,No,
LOAN000619,No,
LOAN000620,No,
LOAN000621,No,
LOAN000622,No,
LOAN000623,No,
LOAN000624,No,
LOAN000625,No,
LOAN000626,No,
LOAN000627,No,
LOAN000628,Yes,02/06/2023
LOAN000629,No,
LOAN000630,No,
LOAN000631,Yes,2026-10-07
LOAN000632,No,
LOAN000633,No,
LOAN000634,No,
LOAN000635,No,
LOAN000636,No,
LOAN000637,No,
LOAN000638,No,
LOAN000639,No,
LOAN000640,No,
LOAN000641,No,
LOAN000642,No,
LOAN000643,No,
LOAN000644,No,
LOAN000645,No,
LOAN000646,No,
LOAN000647,No,
LOAN000648,No,
LOAN000649,No,
LOAN000650,No,
LOAN000651,No,
LOAN000652,Yes,2025-05-26
LOAN000653,No,
LOAN000654,No,
LOAN000655,No,
LOAN000656,No,
LOAN000657,Yes,2027-03-15
LOAN000658,No,
LOAN000659,No,
LOAN000660,No,
LOAN000661,No,
LOAN000662,No,
LOAN000663,No,
LOAN000664,No,
LOAN000665,No,
LOAN000666,No,
LOAN000667,No,
LOAN000668,No,
LOAN000669,No,
LOAN000670,No,
LOAN000671,No,
LOAN000672,No,
LOAN000673,No,
LOAN000674,No,
LOAN000675,No,
LOAN000676,Yes,23/11/2024
LOAN000677,No,
LOAN000678,No,
LOAN000679,No,
LOAN000680,No,
LOAN000681,No,
LOAN000682,Yes,09/10/2027
LOAN000683,No,
LOAN000684,No,
LOAN000685,No,
LOAN000686,No,
LOAN000687,No,
LOAN000688,No,
LOAN000689,No,
LOAN000690,No,
LOAN000691,No,
LOAN000692,No,
LOAN000693,No,
LOAN000694,No,
LOAN000695,No,
LOAN000696,No,
LOAN000697,No,
LOAN000698,No,
LOAN000699,No,
LOAN000700,No,
LOAN000701,No,
LOAN000702,No,
LOAN000703,No,
LOAN000704,No,
LOAN000705,No,
LOAN000706,No,
LOAN000707,No,
LOAN000708,No,
LOAN000709,No,
LOAN000710,Yes,2023-12-06
LOAN000711,No,
LOAN000712,Yes,24/11/2021
LOAN000713,No,
LOAN000714,No,
LOAN000715,No,
LOAN000716,No,
LOAN000717,No,
LOAN000718,No,
LOAN000719,No,
LOAN000720,No,
LOAN000721,No,
LOAN000722,No,
LOAN000723,No,
LOAN000724,No,
LOAN000725,Yes,11/06/2023
LOAN000726,No,
LOAN000727,No,
LOAN000728,No,
LOAN000729,No,
LOAN000730,No,
LOAN000731,No,
LOAN000732,No,
LOAN000733,No,
LOAN000734,No,
LOAN000735,No,
LOAN000736,No,
LOAN000737,No,
LOAN000738,No,
LOAN000739,No,
LOAN000740,No,
LOAN000741,No,
LOAN000742,No,
LOAN000743,No,
LOAN000744,No,
LOAN000745,No,
LOAN000746,No,
LOAN000747,No,
LOAN000748,No,
LOAN000749,No,
LOAN000750,No,
LOAN000751,No,
LOAN000752,No,
LOAN000753,No,
LOAN000754,No,
LOAN000755,No,
LOAN000756,No,
LOAN000757,No,
LOAN000758,No,
LOAN000759,No,
LOAN000760,No,
LOAN000761,No,
LOAN000762,No,
LOAN000763,No,
LOAN000764,No,
LOAN000765,No,
LOAN000766,No,
LOAN000767,No,
LOAN000768,No,
LOAN000769,No,
LOAN000770,No,
LOAN000771,No,
LOAN000772,No,
LOAN000773,No,
LOAN000774,No,
LOAN000775,No,
LOAN000776,Yes,20/06/2025
LOAN000777,No,
LOAN000778,No,
LOAN000779,No,
LOAN000780,No,
LOAN000781,No,
LOAN000782,No,
LOAN000783,No,
LOAN000784,No,
LOAN000785,No,
LOAN000786,No,
LOAN000787,No,
LOAN000788,Yes,2024-06-22
LOAN000789,No,
LOAN000790,No,
LOAN000791,No,
LOAN000792,No,
LOAN000793,Yes,14/09/2025
LOAN000794,Yes,04/01/2027
LOAN000795,No,
LOAN000796,No,
LOAN000797,No,
LOAN000798,No,
LOAN000799,Yes,2025-09-23
LOAN000800,No,
LOAN000801,No,
LOAN000802,No,
LOAN000803,No,
LOAN000804,No,
LOAN000805,No,
LOAN000806,No,
LOAN000807,No,
LOAN000808,No,
LOAN000809,No,
LOAN000810,No,
LOAN000811,No,
LOAN000812,No,
LOAN000813,No,
LOAN000814,No,
LOAN000815,No,
LOAN000816,No,
LOAN000817,No,
LOAN000818,No,
LOAN000819,No,
LOAN000820,No,
LOAN000821,No,
LOAN000822,No,
LOAN000823,No,
LOAN000824,No,
LOAN000825,No,
LOAN000826,No,
LOAN000827,No,
LOAN000828,No,
LOAN000829,No,
LOAN000830,No,
LOAN000831,No,
LOAN000832,No,
LOAN000833,No,
LOAN000834,No,
LOAN000835,No,
LOAN000836,No,
LOAN000837,No,
LOAN000838,Yes,2024-03-23
LOAN000839,No,
LOAN000840,No,
LOAN000841,No,
LOAN000842,No,
LOAN000843,No,
LOAN000844,No,
LOAN000845,No,
LOAN000846,No,
LOAN000847,No,
LOAN000848,No,
LOAN000849,No,
LOAN000850,No,
LOAN000851,No,
LOAN000852,No,
LOAN000853,No,
LOAN000854,Yes,11/01/2027
LOAN000855,No,
LOAN000856,No,
LOAN000857,Yes,2026-08-08
LOAN000858,No,
LOAN000859,No,
LOAN000860,No,
LOAN000861,No,
LOAN000862,Yes,14/02/2028
LOAN000863,No,
LOAN000864,No,
LOAN000865,No,
LOAN000866,No,
LOAN000867,No,
LOAN000868,No,
LOAN000869,No,
LOAN000870,No,
LOAN000871,Yes,19/05/2023
LOAN000872,No,
LOAN000873,No,
LOAN000874,No,
LOAN000875,No,
LOAN000876,No,
LOAN000877,No,
LOAN000878,No,
LOAN000879,Yes,2024-03-29
LOAN000880,No,
LOAN000881,Yes,2026-04-20
LOAN000882,No,
LOAN000883,No,
LOAN000884,No,
LOAN000885,No,
LOAN000886,No,
LOAN000887,No,
LOAN000888,No,
LOAN000889,No,
LOAN000890,No,
LOAN000891,No,
LOAN000892,No,
LOAN000893,No,
LOAN000894,No,
LOAN000895,No,
LOAN000896,No,
LOAN000897,No,
LOAN000898,No,
LOAN000899,No,
LOAN000900,No,
LOAN000901,No,
LOAN000902,No,
LOAN000903,No,
LOAN000904,No,
LOAN000905,No,
LOAN000906,No,
LOAN000907,No,
LOAN000908,No,
LOAN000909,No,
LOAN000910,No,
LOAN000911,No,
LOAN000912,No,
LOAN000913,No,
LOAN000914,No,
LOAN000915,No,
LOAN000916,No,
LOAN000917,No,
LOAN000918,No,
LOAN000919,No,
LOAN000920,No,
LOAN000921,No,
LOAN000922,No,
LOAN000923,No,
LOAN000924,No,
LOAN000925,No,
LOAN000926,No,
LOAN000927,No,
LOAN000928,No,
LOAN000929,No,
LOAN000930,No,
LOAN000931,No,
LOAN000932,No,
LOAN000933,No,
LOAN000934,Yes,02/01/2023
LOAN000935,No,
LOAN000936,No,
LOAN000937,No,
LOAN000938,No,
LOAN000939,No,
LOAN000940,No,
LOAN000941,No,
LOAN000942,No,
LOAN000943,No,
LOAN000944,No,
LOAN000945,No,
LOAN000946,No,
LOAN000947,No,
LOAN000948,No,
LOAN000949,No,
LOAN000950,No,
LOAN000951,No,
LOAN000952,No,
LOAN000953,No,
LOAN000954,No,
LOAN000955,No,
LOAN000956,No,
LOAN000957,No,
LOAN000958,No,
LOAN000959,No,
LOAN000960,No,
LOAN000961,No,
LOAN000962,Yes,2027-04-21
LOAN000963,No,
LOAN000964,No,
LOAN000965,No,
LOAN000966,No,
LOAN000967,No,
LOAN000968,No,
LOAN000969,No,
LOAN000970,No,
LOAN000971,No,
LOAN000972,No,
LOAN000973,No,
LOAN000974,No,
LOAN000975,Yes,2027-04-25
LOAN000976,No,
LOAN000977,No,
LOAN000978,Yes,05/03/2026
LOAN000979,No,
LOAN000980,No,
LOAN000981,Yes,2023-08-12
LOAN000982,No,
LOAN000983,No,
LOAN000984,No,
LOAN000985,Yes,2024-07-16
LOAN000986,Yes,17/07/2028
LOAN000987,No,
LOAN000988,No,
LOAN000989,No,
LOAN000990,No,
LOAN000991,No,
LOAN000992,Yes,2026-11-21
LOAN000993,No,
LOAN000994,No,
LOAN000995,No,
LOAN000996,No,
LOAN000997,No,
LOAN000998,No,
LOAN000999,No,
LOAN001000,No,
LOAN001001,No,
LOAN001002,No,
LOAN001003,No,
LOAN001004,No,
LOAN001005,No,
LOAN001006,No,
LOAN001007,No,
LOAN001008,No,
LOAN001009,No,
LOAN001010,Yes,12/11/2022
LOAN001011,No,
LOAN001012,No,
LOAN001013,No,
LOAN001014,No,
LOAN001015,No,
LOAN001016,No,
LOAN001017,No,
LOAN001018,No,
LOAN001019,No,
LOAN001020,No,
LOAN001021,No,
LOAN001022,No,
LOAN001023,No,
LOAN001024,No,
LOAN001025,No,
LOAN001026,No,
LOAN001027,No,
LOAN001028,No,
LOAN001029,No,
LOAN001030,No,
LOAN001031,No,
LOAN001032,No,
LOAN001033,No,
LOAN001034,No,
LOAN001035,No,
LOAN001036,No,
LOAN001037,No,
LOAN001038,No,
LOAN001039,No,
LOAN001040,No,
LOAN001041,No,
LOAN001042,No,
LOAN001043,No,
LOAN001044,No,
LOAN001045,No,
LOAN001046,No,
LOAN001047,No,
LOAN001048,No,
LOAN001049,No,
LOAN001050,No,
LOAN001051,No,
LOAN001052,Yes,14/11/2022
LOAN001053,Yes,06/10/2025
LOAN001054,No,
LOAN001055,No,
LOAN001056,No,
LOAN001057,No,
LOAN001058,No,
LOAN001059,No,
LOAN001060,No,
LOAN001061,No,
LOAN001062,No,
LOAN001063,No,
LOAN001064,Yes,2024-02-01
LOAN001065,No,
LOAN001066,No,
LOAN001067,No,
LOAN001068,No,
LOAN001069,No,
LOAN001070,No,
LOAN001071,No,
LOAN001072,No,
LOAN001073,Yes,23/11/2022
LOAN001074,No,
LOAN001075,No,
LOAN001076,No,
LOAN001077,No,
LOAN001078,No,
LOAN001079,No,
LOAN001080,No,
LOAN001081,No,
LOAN001082,No,
LOAN001083,No,
LOAN001084,No,
LOAN001085,No,
LOAN001086,No,
LOAN001087,No,
LOAN001088,Yes,18/11/2023
LOAN001089,No,
LOAN001090,No,
LOAN001091,Yes,08/10/2023
LOAN001092,No,
LOAN001093,No,
LOAN001094,No,
LOAN001095,Yes,2026-02-27
LOAN001096,No,
LOAN001097,No,
LOAN001098,No,
LOAN001099,No,
LOAN001100,No,
LOAN001101,No,
LOAN001102,No,
LOAN001103,No,
LOAN001104,No,
LOAN001105,No,
LOAN001106,No,
LOAN001107,No,
LOAN001108,No,
LOAN001109,Yes,20/02/2025
LOAN001110,No,
LOAN001111,No,
LOAN001112,No,
LOAN001113,No,
LOAN001114,No,
LOAN001115,No,
LOAN001116,No,
LOAN001117,No,
LOAN001118,No,
LOAN001119,No,
LOAN001120,No,
LOAN001121,No,
LOAN001122,No,
LOAN001123,No,
LOAN001124,Yes,2027-01-04
LOAN001125,No,
LOAN001126,Yes,12/01/2027
LOAN001127,No,
LOAN001128,No,
LOAN001129,No,
LOAN001130,No,
LOAN001131,No,
LOAN001132,No,
LOAN001133,No,
LOAN001134,No,
LOAN001135,No,
LOAN001136,No,
LOAN001137,No,
LOAN001138,No,
LOAN001139,No,
LOAN001140,No,
LOAN001141,No,
LOAN001142,No,
LOAN001143,No,
LOAN001144,Yes,11/07/2024
LOAN001145,No,
LOAN001146,No,
LOAN001147,No,
LOAN001148,No,
LOAN001149,No,
LOAN001150,Yes,2022-09-15
LOAN001151,No,
LOAN001152,No,
LOAN001153,No,
LOAN001154,No,
LOAN001155,No,
LOAN001156,No,
LOAN001157,No,
LOAN001158,No,
LOAN001159,No,
LOAN001160,Yes,2025-03-26
LOAN001161,No,
LOAN001162,No,
LOAN001163,No,
LOAN001164,No,
LOAN001165,No,
LOAN001166,No,
LOAN001167,No,
LOAN001168,No,
LOAN001169,No,
LOAN001170,No,
LOAN001171,No,
LOAN001172,No,
LOAN001173,No,
LOAN001174,No,
LOAN001175,No,
LOAN001176,No,
LOAN001177,No,
LOAN001178,No,
LOAN001179,No,
LOAN001180,No,
LOAN001181,No,
LOAN001182,No,
LOAN001183,No,
LOAN001184,No,
LOAN001185,No,
LOAN001186,No,
LOAN001187,Yes,04/07/2023
LOAN001188,No,
LOAN001189,No,
LOAN001190,No,
LOAN001191,No,
LOAN001192,No,
LOAN001193,No,
LOAN001194,No,
LOAN001195,No,
LOAN001196,No,
LOAN001197,No,
LOAN001198,No,
LOAN001199,No,
LOAN001200,No,
LOAN001201,No,
LOAN001202,No,
LOAN001203,No,
LOAN001204,No,
LOAN001205,No,
LOAN001206,No,
LOAN001207,No,
LOAN001208,Yes,2023-08-13
LOAN001209,No,
LOAN001210,No,
LOAN001211,No,
LOAN001212,No,
LOAN001213,Yes,2025-01-21
LOAN001214,No,
LOAN001215,No,
LOAN001216,No,
LOAN001217,Yes,2025-02-18
LOAN001218,No,
LOAN001219,No,
LOAN001220,No,
LOAN001221,No,
LOAN001222,No,
LOAN001223,No,
LOAN001224,No,
LOAN001225,No,
LOAN001226,No,
LOAN001227,No,
LOAN001228,Yes,09/07/2022
LOAN001229,No,
LOAN001230,No,
LOAN001231,No,
LOAN001232,No,
LOAN001233,No,
LOAN001234,No,
LOAN001235,No,
LOAN001236,No,
LOAN001237,No,
LOAN001238,No,
LOAN001239,No,
LOAN001240,No,
LOAN001241,No,
LOAN001242,No,
LOAN001243,No,
LOAN001244,No,
LOAN001245,No,
LOAN001246,Yes,11/07/2022
LOAN001247,No,
LOAN001248,No,
LOAN001249,No,
LOAN001250,Yes,12/09/2024
LOAN001251,No,
LOAN001252,No,
LOAN001253,No,
LOAN001254,No,
LOAN001255,No,
LOAN001256,No,
LOAN001257,No,
LOAN001258,No,
LOAN001259,No,
LOAN001260,No,
LOAN001261,No,
LOAN001262,No,
LOAN001263,Yes,2024-07-26
LOAN001264,No,
LOAN001265,No,
LOAN001266,No,
LOAN001267,No,
LOAN001268,No,
LOAN001269,No,
LOAN001270,No,
LOAN001271,Yes,2023-08-28
LOAN001272,No,
LOAN001273,No,
LOAN001274,No,
LOAN001275,No,
LOAN001276,No,
LOAN001277,No,
LOAN001278,No,
LOAN001279,No,
LOAN001280,No,
LOAN001281,No,
LOAN001282,No,
LOAN001283,No,
LOAN001284,No,
LOAN001285,No,
LOAN001286,No,
LOAN001287,No,
LOAN001288,No,
LOAN001289,Yes,2023-03-26
LOAN001290,Yes,04/04/2023
LOAN001291,Yes,2023-03-23
LOAN001292,No,
LOAN001293,No,
LOAN001294,No,
LOAN001295,No,
LOAN001296,No,
LOAN001297,No,
LOAN001298,No,
LOAN001299,No,
LOAN001300,No,
LOAN001301,No,
LOAN001302,Yes,20/11/2023
LOAN001303,Yes,09/06/2023
LOAN001304,No,
LOAN001305,No,
LOAN001306,No,
LOAN001307,No,
